[28.03.2024 21:12:08] [INFO] received Windows console close event; shutting log-core down
[28.03.2024 21:21:42] [INFO] received Windows console close event; shutting log-core down
[28.03.2024 21:22:04] [INFO] received Windows console close event; shutting log-core down
[28.03.2024 21:23:20] [INFO] received Windows console close event; shutting log-core down
[28.03.2024 21:27:21] [INFO] received Windows console close event; shutting log-core down
[28.03.2024 21:29:50] [INFO] received Windows console close event; shutting log-core down
[28.03.2024 21:32:30] [INFO] received Windows console close event; shutting log-core down
[28.03.2024 21:35:05] [INFO] received Windows console close event; shutting log-core down
[28.03.2024 21:38:03] [INFO] received Windows console close event; shutting log-core down
[28.03.2024 21:38:58] [INFO] received Windows console close event; shutting log-core down
[28.03.2024 21:40:34] [INFO] received Windows console close event; shutting log-core down
[28.03.2024 21:43:28] [INFO] received Windows console close event; shutting log-core down
[28.03.2024 21:44:30] [INFO] received Windows console close event; shutting log-core down
[28.03.2024 21:49:34] [INFO] received Windows console close event; shutting log-core down
[28.03.2024 21:56:22] [INFO] received Windows console close event; shutting log-core down
