[28.03.2024 21:10:52] [ERROR] mysql_connect_file: handle error: invalid connection file specified (file: "mysql.ini")
[28.03.2024 21:10:52] [ERROR] mysql_set_charset: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
[28.03.2024 21:10:53] [ERROR] mysql_tquery: invalid connection handle '0'
